user_loc,fr_loc,scaled_sci,region
AW,AR,6051,Americas
AW,AT,3662,Americas
AW,AU,2719,Americas
AW,AW,427209236,Americas
AW,AZ,328,Americas
AW,BA,604,Americas
AW,BB,46859,Americas
AW,BD,242,Americas
AW,BE,16663,Americas
AW,BF,767,Americas
AW,BG,2368,Americas
AW,BH,4283,Americas
AW,BI,535,Americas
AW,BJ,5750,Americas
AW,BN,2642,Americas
AW,BO,2637,Americas
AW,BR,2033,Americas
AW,BS,49472,Americas
AW,BT,292,Americas
AW,BW,539,Americas
AW,BY,523,Americas
AW,BZ,15412,Americas
AW,CA,9476,Americas
AW,CD,766,Americas
AW,CF,971,Americas
AW,CG,1411,Americas
AW,CH,7787,Americas
AW,CI,1082,Americas
AW,CL,30058,Americas
AW,CM,1252,Americas
AW,CO,104816,Americas
AW,CR,23095,Americas
AW,CV,2168,Americas
AW,CW,18000312,Americas
AW,CY,2840,Americas
AW,CZ,1430,Americas
AW,DE,3546,Americas
AW,DJ,396,Americas
AW,DK,2090,Americas
AW,DO,195759,Americas
AW,DZ,635,Americas
AW,EC,24238,Americas
AW,EE,1257,Americas
AW,EG,601,Americas
AW,ES,17563,Americas
AW,ET,259,Americas
AW,FI,2060,Americas
AW,FJ,4963,Americas
AW,FM,1956,Americas
AW,FR,2509,Americas
AW,GA,1105,Americas
AW,GB,4666,Americas
AW,GD,269008,Americas
AW,GE,412,Americas
AW,GF,107863,Americas
AW,GH,2019,Americas
AW,GM,4246,Americas
AW,GN,801,Americas
AW,GP,112172,Americas
AW,GQ,2891,Americas
AW,GR,1953,Americas
AW,GT,2618,Americas
AW,GU,7233,Americas
AW,GW,747,Americas
AW,GY,89092,Americas
AW,HK,2294,Americas
AW,HN,3426,Americas
AW,HR,1546,Americas
AW,HT,113154,Americas
AW,HU,1804,Americas
AW,ID,263,Americas
AW,IE,2696,Americas
AW,IM,2656,Americas
AW,IN,389,Americas
AW,IS,5297,Americas
AW,IT,3683,Americas
AW,JE,5061,Americas
AW,JM,108127,Americas
AW,JO,779,Americas
AW,JP,867,Americas
AW,KE,1192,Americas
AW,KG,134,Americas
AW,KH,233,Americas
AW,KI,490,Americas
AW,KM,611,Americas
AW,KR,353,Americas
AW,KW,2589,Americas
AW,KY,146256,Americas
AW,KZ,691,Americas
AW,LA,204,Americas
AW,LB,7065,Americas
AW,LC,70389,Americas
AW,LK,503,Americas
AW,LR,2019,Americas
AW,LS,460,Americas
AW,LT,940,Americas
AW,LU,7848,Americas
AW,LV,1248,Americas
AW,LY,364,Americas
AW,MA,1268,Americas
AW,MD,589,Americas
AW,ME,7065,Americas
AW,MG,539,Americas
AW,MK,1297,Americas
AW,ML,682,Americas
AW,MM,80,Americas
AW,MN,255,Americas
AW,MO,2756,Americas
AW,MQ,46491,Americas
AW,MR,444,Americas
AW,MT,10176,Americas
AW,MU,3261,Americas
AW,MV,2043,Americas
AW,MW,601,Americas
AW,MX,2759,Americas
AW,MY,554,Americas
AW,MZ,759,Americas
AW,,6885,Americas
AW,NC,986,Americas
AW,NE,588,Americas
AW,NG,1354,Americas
AW,NI,4770,Americas
AW,NL,646910,Americas
AW,NO,3718,Americas
AW,NP,371,Americas
AW,NZ,2300,Americas
AW,OM,1089,Americas
AW,PA,49504,Americas
AW,PE,21774,Americas
AW,PF,2370,Americas
AW,PG,2389,Americas
AW,PH,4418,Americas
AW,PK,498,Americas
AW,PL,700,Americas
AW,PR,39012,Americas
AW,PT,6359,Americas
AW,PY,4200,Americas
AW,QA,3960,Americas
AW,RE,2216,Americas
AW,RO,1414,Americas
AW,RS,1579,Americas
AW,RW,561,Americas
AW,SA,1557,Americas
AW,SB,511,Americas
AW,SC,4386,Americas
AW,SE,4212,Americas
AW,SG,2350,Americas
AW,SI,4482,Americas
AW,SK,1624,Americas
AW,SL,2095,Americas
AW,SN,1615,Americas
AW,SR,983281,Americas
AW,ST,1030,Americas
AW,SV,3225,Americas
AW,SZ,640,Americas
AW,TD,803,Americas
AW,TG,1413,Americas
AW,TH,245,Americas
AW,TJ,209,Americas
AW,TL,413,Americas
AW,TN,874,Americas
AW,TO,2533,Americas
AW,TR,477,Americas
AW,TT,85165,Americas
AW,TW,773,Americas
AW,TZ,692,Americas
AW,UA,369,Americas
AW,UG,1558,Americas
AW,US,13231,Americas
AW,UY,6391,Americas
AW,UZ,141,Americas
AW,VC,86054,Americas
AW,VN,173,Americas
AW,VU,1514,Americas
AW,WS,914,Americas
AW,XK,728,Americas
AW,YT,1267,Americas
AW,ZA,700,Americas
AW,ZM,743,Americas
AW,ZW,473,Americas
BB,AE,3349,Americas
BB,AG,2551859,Americas
BB,AL,704,Americas
BB,AM,278,Americas
BB,AO,2033,Americas
BB,AR,598,Americas
BB,AT,2120,Americas
BB,AU,4314,Americas
BB,AW,46859,Americas
BB,AZ,261,Americas
BB,BA,625,Americas
BB,BB,282024727,Americas
BB,BD,322,Americas
BB,BE,2071,Americas
BB,BF,1088,Americas
BB,BG,715,Americas
BB,BH,2454,Americas
BB,BI,1104,Americas
BB,BJ,4300,Americas
BB,BN,1167,Americas
BB,BO,420,Americas
BB,BR,586,Americas
BB,BS,528893,Americas
BB,BT,273,Americas
BB,BW,4701,Americas
BB,BY,552,Americas
BB,BZ,111266,Americas
BB,CA,68058,Americas
BB,CD,1528,Americas
BB,CF,1860,Americas
BB,CG,2585,Americas
BB,CH,5969,Americas
BB,CI,1563,Americas
BB,CL,982,Americas
BB,CM,2190,Americas
BB,CO,984,Americas
BB,CR,2308,Americas
BB,CV,2914,Americas
BB,CW,82641,Americas
BB,CY,2941,Americas
BB,CZ,699,Americas
BB,DE,2333,Americas
BB,DJ,2270,Americas
BB,DK,3053,Americas
BB,DO,5970,Americas
BB,DZ,300,Americas
BB,EC,660,Americas
BB,EE,1221,Americas
BB,EG,347,Americas
BB,ES,1691,Americas
BB,ET,869,Americas
BB,FI,1983,Americas
BB,FJ,7650,Americas
BB,FM,2527,Americas
BB,FR,1771,Americas
BB,GA,2050,Americas
BB,GB,34305,Americas
BB,GD,3358284,Americas
BB,GE,441,Americas
BB,GF,127115,Americas
BB,GH,13671,Americas
BB,GM,10248,Americas
BB,GN,1307,Americas
BB,GP,53125,Americas
BB,GQ,2896,Americas
BB,GR,1261,Americas
BB,GT,577,Americas
BB,GU,3214,Americas
BB,GW,2844,Americas
BB,GY,2710388,Americas
BB,HK,1351,Americas
BB,HN,1258,Americas
BB,HR,1291,Americas
BB,HT,35180,Americas
BB,HU,1100,Americas
BB,ID,282,Americas
BB,IE,8355,Americas
BB,IM,18944,Americas
BB,IN,370,Americas
BB,IS,2130,Americas
BB,IT,1535,Americas
BB,JE,77690,Americas
BB,JM,905768,Americas
BB,JO,461,Americas
BB,JP,727,Americas
BB,KE,4892,Americas
BB,KG,147,Americas
BB,KH,166,Americas
BB,KI,1730,Americas
BB,KM,931,Americas
BB,KR,332,Americas
BB,KW,1061,Americas
BB,KY,1425980,Americas
BB,KZ,271,Americas
BB,LA,89,Americas
BB,LB,1260,Americas
BB,LC,3924036,Americas
BB,LK,981,Americas
BB,LR,15571,Americas
BB,LS,1501,Americas
BB,LT,503,Americas
BB,LU,5548,Americas
BB,LV,685,Americas
BB,LY,272,Americas
BB,MA,491,Americas
BB,MD,408,Americas
BB,ME,2963,Americas
BB,MG,999,Americas
BB,MK,1110,Americas
BB,ML,1494,Americas
BB,MM,138,Americas
BB,MN,234,Americas
BB,MO,1603,Americas
BB,MQ,90954,Americas
BB,MR,1256,Americas
BB,MT,5850,Americas
BB,MU,4928,Americas
BB,MV,2470,Americas
BB,MW,1749,Americas
BB,MX,380,Americas
BB,MY,582,Americas
BB,MZ,1425,Americas
BB,,11860,Americas
BB,NC,660,Americas
BB,NE,1084,Americas
BB,NG,5004,Americas
BB,NI,932,Americas
BB,NL,4230,Americas
BB,NO,2623,Americas
BB,NP,270,Americas
BB,NZ,5285,Americas
BB,OM,1581,Americas
BB,PA,6102,Americas
BB,PE,440,Americas
BB,PF,1241,Americas
BB,PG,1465,Americas
BB,PH,615,Americas
BB,PK,583,Americas
BB,PL,355,Americas
BB,PR,3847,Americas
BB,PT,1336,Americas
BB,PY,718,Americas
BB,QA,2024,Americas
BB,RE,833,Americas
BB,RO,863,Americas
BB,RS,1368,Americas
BB,RW,1726,Americas
BB,SA,564,Americas
BB,SB,1403,Americas
BB,SC,31809,Americas
BB,SE,4102,Americas
BB,SG,1953,Americas
BB,SI,1561,Americas
BB,SK,752,Americas
BB,SL,8508,Americas
BB,SN,3410,Americas
BB,SR,305859,Americas
BB,ST,4834,Americas
BB,SV,531,Americas
BB,SZ,2478,Americas
BB,TD,800,Americas
BB,TG,2821,Americas
BB,TH,201,Americas
BB,TJ,207,Americas
BB,TL,422,Americas
BB,TN,413,Americas
BB,TO,1471,Americas
BB,TR,452,Americas
BB,TT,931273,Americas
BB,TW,334,Americas
BB,TZ,2538,Americas
BB,UA,341,Americas
BB,UG,4936,Americas
BB,US,23977,Americas
BB,UY,1353,Americas
BB,UZ,164,Americas
BB,VC,8757277,Americas
BB,VN,131,Americas
BB,VU,2824,Americas
BB,WS,1750,Americas
BB,XK,669,Americas
BB,YT,1692,Americas
BB,ZA,1969,Americas
BB,ZM,3550,Americas
BB,ZW,2780,Americas
BO,AE,591,Americas
BO,AG,599,Americas
BO,AL,353,Americas
BO,AM,129,Americas
BO,AO,1488,Americas
BO,AR,35162,Americas
BO,AT,670,Americas
BO,AU,337,Americas
BO,AW,2637,Americas
BO,AZ,194,Americas
BO,BA,215,Americas
BO,BB,420,Americas
BO,BD,325,Americas
BO,BE,844,Americas
BO,BF,573,Americas
BO,BG,328,Americas
BO,BH,516,Americas
BO,BI,338,Americas
BO,BJ,4112,Americas
BO,BN,376,Americas
BO,BO,4864705,Americas
BO,BR,6442,Americas
BO,BS,479,Americas
BO,BT,358,Americas
BO,BW,254,Americas
BO,BY,363,Americas
BO,BZ,4406,Americas
BO,CA,645,Americas
BO,CD,461,Americas
BO,CF,486,Americas
BO,CG,621,Americas
BO,CH,4437,Americas
BO,CI,636,Americas
BO,CL,47613,Americas
BO,CM,565,Americas
BO,CO,9033,Americas
BO,CR,6700,Americas
BO,CV,3666,Americas
BO,CW,1371,Americas
