user_loc,fr_loc,scaled_sci,region
AT,TZ,914,Europe
AT,UA,4890,Europe
AT,UG,2269,Europe
AT,US,2710,Europe
AT,UY,1522,Europe
AT,UZ,1228,Europe
AT,VC,1851,Europe
AT,VN,315,Europe
AT,VU,651,Europe
AT,WS,381,Europe
AT,XK,113697,Europe
AT,YT,508,Europe
AT,ZA,885,Europe
AT,ZM,620,Europe
AT,ZW,994,Europe
BA,AE,4792,Europe
BA,AG,508,Europe
BA,AL,15027,Europe
BA,AM,701,Europe
BA,AO,393,Europe
BA,AR,442,Europe
BA,AT,312840,Europe
BA,AU,7830,Europe
BA,AW,604,Europe
BA,AZ,3537,Europe
BA,BA,24705334,Europe
BA,BB,625,Europe
BA,BD,496,Europe
BA,BE,10782,Europe
BA,BF,398,Europe
BA,BG,7109,Europe
BA,BH,1924,Europe
BA,BI,258,Europe
BA,BJ,3427,Europe
BA,BN,587,Europe
BA,BO,215,Europe
BA,BR,286,Europe
BA,BS,744,Europe
BA,BT,148,Europe
BA,BW,278,Europe
BA,BY,2231,Europe
BA,BZ,293,Europe
BA,CA,5297,Europe
BA,CD,243,Europe
BA,CF,1871,Europe
BA,CG,425,Europe
BA,CH,96293,Europe
BA,CI,798,Europe
BA,CL,399,Europe
BA,CM,539,Europe
BA,CO,277,Europe
BA,CR,437,Europe
BA,CV,401,Europe
BA,CW,644,Europe
BA,CY,5151,Europe
BA,CZ,6978,Europe
BA,DE,98577,Europe
BA,DJ,647,Europe
BA,DK,19088,Europe
BA,DO,949,Europe
BA,DZ,866,Europe
BA,EC,237,Europe
BA,EE,1582,Europe
BA,EG,621,Europe
BA,ES,1930,Europe
BA,ET,319,Europe
BA,FI,6753,Europe
BA,FJ,231,Europe
BA,FM,1224,Europe
BA,FR,4417,Europe
BA,GA,422,Europe
BA,GB,2130,Europe
BA,GD,708,Europe
BA,GE,1167,Europe
BA,GF,297,Europe
BA,GH,1078,Europe
BA,GM,2320,Europe
BA,GN,387,Europe
BA,GP,326,Europe
BA,GQ,870,Europe
BA,GR,8065,Europe
BA,GT,148,Europe
BA,GU,435,Europe
BA,GW,369,Europe
BA,GY,383,Europe
BA,HK,343,Europe
BA,HN,228,Europe
BA,HR,819998,Europe
BA,HT,296,Europe
BA,HU,4095,Europe
BA,ID,226,Europe
BA,IE,9693,Europe
BA,IM,621,Europe
BA,IN,121,Europe
BA,IS,18703,Europe
BA,IT,10320,Europe
BA,JE,820,Europe
BA,JM,704,Europe
BA,JO,1639,Europe
BA,JP,235,Europe
BA,KE,591,Europe
BA,KG,650,Europe
BA,KH,101,Europe
BA,KI,167,Europe
BA,KM,203,Europe
BA,KR,162,Europe
BA,KW,2154,Europe
BA,KY,2538,Europe
BA,KZ,592,Europe
BA,LA,106,Europe
BA,LB,1165,Europe
BA,LC,1268,Europe
BA,LK,316,Europe
BA,LR,643,Europe
BA,LS,117,Europe
BA,LT,1564,Europe
BA,LU,98590,Europe
BA,LV,1976,Europe
BA,LY,1381,Europe
BA,MA,1644,Europe
BA,MD,1381,Europe
BA,ME,1102079,Europe
BA,MG,619,Europe
BA,MK,161234,Europe
BA,ML,486,Europe
BA,MM,54,Europe
BA,MN,333,Europe
BA,MO,320,Europe
BA,MQ,400,Europe
BA,MR,391,Europe
BA,MT,36736,Europe
BA,MU,959,Europe
BA,MV,1093,Europe
BA,MW,183,Europe
BA,MX,223,Europe
BA,MY,460,Europe
BA,MZ,297,Europe
BA,,1460,Europe
BA,NC,472,Europe
BA,NE,359,Europe
BA,NG,577,Europe
BA,NI,244,Europe
BA,NL,13621,Europe
BA,NO,23508,Europe
BA,NP,176,Europe
BA,NZ,1185,Europe
BA,OM,2050,Europe
BA,PA,313,Europe
BA,PE,247,Europe
BA,PF,295,Europe
BA,PG,162,Europe
BA,PH,335,Europe
BA,PK,2912,Europe
BA,PL,1449,Europe
BA,PR,329,Europe
BA,PT,1628,Europe
BA,PY,362,Europe
BA,QA,5504,Europe
BA,RE,340,Europe
BA,RO,3263,Europe
BA,RS,796560,Europe
BA,RW,509,Europe
BA,SA,1840,Europe
BA,SB,399,Europe
BA,SC,579,Europe
BA,SE,50771,Europe
BA,SG,506,Europe
BA,SI,1157591,Europe
BA,SK,10450,Europe
BA,SL,877,Europe
BA,SN,512,Europe
BA,SR,357,Europe
BA,ST,209,Europe
BA,SV,179,Europe
BA,SZ,284,Europe
BA,TD,406,Europe
BA,TG,1015,Europe
BA,TH,135,Europe
BA,TJ,889,Europe
BA,TL,278,Europe
BA,TN,1300,Europe
BA,TO,225,Europe
BA,TR,3446,Europe
BA,TT,621,Europe
BA,TW,122,Europe
BA,TZ,403,Europe
BA,UA,1331,Europe
BA,UG,1099,Europe
BA,US,3339,Europe
BA,UY,501,Europe
BA,UZ,487,Europe
BA,VC,595,Europe
BA,VN,79,Europe
BA,VU,99,Europe
BA,WS,188,Europe
BA,XK,70177,Europe
BA,YT,143,Europe
BA,ZA,260,Europe
BA,ZM,430,Europe
BA,ZW,287,Europe
BE,AE,4375,Europe
BE,AG,2166,Europe
BE,AL,20975,Europe
BE,AM,9893,Europe
BE,AO,5111,Europe
BE,AR,1192,Europe
BE,AT,13983,Europe
BE,AU,4143,Europe
BE,AW,16663,Europe
BE,AZ,1411,Europe
BE,BA,10782,Europe
BE,BB,2071,Europe
BE,BD,314,Europe
BE,BE,4718282,Europe
BE,BF,5252,Europe
BE,BG,29813,Europe
BE,BH,2037,Europe
BE,BI,22465,Europe
BE,BJ,6022,Europe
BE,BN,795,Europe
BE,BO,844,Europe
BE,BR,1808,Europe
BE,BS,1365,Europe
BE,BT,1314,Europe
BE,BW,773,Europe
BE,BY,3426,Europe
