user_loc,fr_loc,scaled_sci,region
FJ,SB,1166231,Oceania
FJ,SC,22368,Oceania
FJ,SE,805,Oceania
FJ,SG,2247,Oceania
FJ,SI,349,Oceania
FJ,SK,162,Oceania
FJ,SL,3473,Oceania
FJ,SN,1003,Oceania
FJ,SR,159563,Oceania
FJ,ST,966,Oceania
FJ,SV,243,Oceania
FJ,SZ,1027,Oceania
FJ,TD,546,Oceania
FJ,TG,1555,Oceania
FJ,TH,183,Oceania
FJ,TJ,355,Oceania
FJ,TL,8933,Oceania
FJ,TN,626,Oceania
FJ,TO,2413502,Oceania
FJ,TR,161,Oceania
FJ,TT,44760,Oceania
FJ,TW,547,Oceania
FJ,TZ,1439,Oceania
FJ,UA,185,Oceania
FJ,UG,2079,Oceania
FJ,US,5227,Oceania
FJ,UY,285,Oceania
FJ,UZ,183,Oceania
FJ,VC,21406,Oceania
FJ,VN,183,Oceania
FJ,VU,1171658,Oceania
FJ,WS,906168,Oceania
FJ,XK,286,Oceania
FJ,YT,111535,Oceania
FJ,ZA,1540,Oceania
FJ,ZM,2404,Oceania
FJ,ZW,1353,Oceania
FM,AE,3269,Oceania
FM,AG,3267,Oceania
FM,AL,113,Oceania
FM,AM,319,Oceania
FM,AO,386,Oceania
FM,AR,97,Oceania
FM,AT,469,Oceania
FM,AU,3687,Oceania
FM,AW,1956,Oceania
FM,AZ,132,Oceania
FM,BA,1224,Oceania
FM,BB,2527,Oceania
FM,BD,528,Oceania
FM,BE,525,Oceania
FM,BF,276,Oceania
FM,BG,255,Oceania
FM,BH,4834,Oceania
FM,BI,520,Oceania
FM,BJ,4539,Oceania
FM,BN,2181,Oceania
FM,BO,142,Oceania
FM,BR,133,Oceania
FM,BS,3305,Oceania
FM,BT,443,Oceania
FM,BW,434,Oceania
FM,BY,209,Oceania
FM,BZ,130223,Oceania
FM,CA,1680,Oceania
FM,CD,535,Oceania
FM,CF,321,Oceania
FM,CG,503,Oceania
FM,CH,761,Oceania
FM,CI,770,Oceania
FM,CL,97,Oceania
FM,CM,924,Oceania
FM,CO,164,Oceania
FM,CR,304,Oceania
FM,CV,959,Oceania
FM,CW,1144,Oceania
FM,CY,874,Oceania
FM,CZ,99,Oceania
FM,DE,764,Oceania
FM,DJ,496,Oceania
FM,DK,234,Oceania
FM,DO,1260,Oceania
FM,DZ,407,Oceania
FM,EC,345,Oceania
FM,EE,121,Oceania
FM,EG,185,Oceania
FM,ES,210,Oceania
FM,ET,647,Oceania
FM,FI,213,Oceania
FM,FJ,242695,Oceania
