params,mean_test_score,dataset,model_file_name,pipeline,model_name,model
{'rf__n_estimators': 6},0.1956874941638403,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 8},0.2291618527619131,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 11},0.2571888862887522,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 13},0.2713753528315531,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 15},0.2752093975538578,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 17},0.2790688423578094,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 20},0.2876898471399601,EucDist,models/test_21.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'SVM__kernel': 'poly'},-33704.54223817268,ManDist,,,,models/test_25.pkl
{'SVM__kernel': 'poly'},-33673.91385021517,EucDist,,,,models/test_23.pkl
"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.4003710210800913,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 225}",0.3985986755531393,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 250}",0.3986525084794346,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 4, 'rf__n_estimators': 200}",0.3987819470225872,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 4, 'rf__n_estimators': 225}",0.3989963707786473,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 4, 'rf__n_estimators': 250}",0.3960413411363438,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 6, 'rf__n_estimators': 200}",0.3959674933257407,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 6, 'rf__n_estimators': 225}",0.3955226747239194,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
"{'rf__max_depth': None, 'rf__min_samples_split': 6, 'rf__n_estimators': 250}",0.395747374542945,ManDist,models/test_42.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 0},,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2},0.1278445862195476,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 4},0.2860818185345858,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 6},0.3525940287760848,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 8},0.3836165915321713,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 11},0.4009344912007959,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 13},0.4119057691570177,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 15},0.4155827830735337,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 17},0.4196726998582283,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 20},0.4218343692136013,HetDist,models/test_22.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 0},,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2},-0.1074037287025176,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 4},0.128680295524285,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 6},0.1927292190720111,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 8},0.2405658139088961,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 11},0.2629452584702482,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 13},0.2699007030718935,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 15},0.2790981347540912,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 17},0.2748772924734096,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 20},0.2875706897311388,ManDist,models/test_23.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 0},,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 2},-0.0022077656615246,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 4},0.169621428562038,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 6},0.228382502356684,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 8},0.24663901304492,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 11},0.2693998816160392,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 13},0.2836741585169494,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 15},0.2898674104670234,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 17},0.2937047642655726,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
{'rf__n_estimators': 20},0.2970491133518195,CosDist,models/test_24.pkl,"Pipeline(steps=[('normalize', Normalizer()), ('rf', RandomForestRegressor())])",RandomForestRegressor(),
