,scaled_sci,user,friend
215,5698,ATG,COG
216,6927,ATG,CHE
217,3159,ATG,CIV
218,1742,ATG,CHL
219,4742,ATG,CMR
220,1440,ATG,COL
221,3634,ATG,CRI
222,7695,ATG,CPV
223,264541,ATG,CUW
224,7144,ATG,CYP
225,616,ATG,CZE
226,2335,ATG,DEU
227,2830,ATG,DJI
228,2359,ATG,DNK
229,196877,ATG,DOM
230,532,ATG,DZA
231,1233,ATG,ECU
232,5921,ATG,EST
233,751,ATG,EGY
234,4581,ATG,ESP
235,1186,ATG,ETH
236,1271,ATG,FIN
237,9244,ATG,FJI
238,3267,ATG,FSM
239,3535,ATG,FRA
240,6912,ATG,GAB
241,40165,ATG,GBR
242,3622283,ATG,GRD
243,1379,ATG,GEO
244,235943,ATG,GUF
245,12654,ATG,GHA
246,11691,ATG,GMB
247,2668,ATG,GIN
248,802310,ATG,GLP
249,10555,ATG,GNQ
250,1299,ATG,GRC
251,890,ATG,GTM
252,3868,ATG,GUM
253,3483,ATG,GNB
254,3777881,ATG,GUY
255,1106,ATG,HKG
256,1999,ATG,HND
257,1530,ATG,HRV
258,52380,ATG,HTI
259,1022,ATG,HUN
260,328,ATG,IDN
261,4592,ATG,IRL
262,18997,ATG,IMN
263,522,ATG,IND
264,3581,ATG,ISL
265,4331,ATG,ITA
266,24891,ATG,JEY
267,2598041,ATG,JAM
268,777,ATG,JOR
269,824,ATG,JPN
270,6758,ATG,KEN
271,241,ATG,KGZ
272,248,ATG,KHM
273,1833,ATG,KIR
274,9804,ATG,COM
275,357,ATG,KOR
276,2392,ATG,KWT
277,1092215,ATG,CYM
278,371,ATG,KAZ
279,202,ATG,LAO
280,9573,ATG,LBN
281,6556735,ATG,LCA
282,1594,ATG,LKA
283,24225,ATG,LBR
284,3871,ATG,LSO
285,747,ATG,LTU
286,4408,ATG,LUX
287,1374,ATG,LVA
288,369,ATG,LBY
289,1151,ATG,MAR
290,303,ATG,MDA
291,1914,ATG,MNE
292,2280,ATG,MDG
293,2532,ATG,MKD
294,2999,ATG,MLI
295,101,ATG,MMR
296,328,ATG,MNG
297,1353,ATG,MAC
298,234608,ATG,MTQ
299,1803,ATG,MRT
300,18980,ATG,MLT
301,8436,ATG,MUS
302,6264,ATG,MDV
303,2623,ATG,MWI
304,852,ATG,MEX
305,416,ATG,MYS
306,2812,ATG,MOZ
307,15247,ATG,NULL
308,921,ATG,NCL
309,6591,ATG,NER
310,7632,ATG,NGA
311,1418,ATG,NIC
312,5929,ATG,NLD
313,2062,ATG,NOR
314,491,ATG,NPL
315,4324,ATG,NZL
316,1720,ATG,OMN
317,5837,ATG,PAN
318,750,ATG,PER
319,7917,ATG,PYF
320,1367,ATG,PNG
321,1822,ATG,PHL
322,841,ATG,PAK
323,502,ATG,POL
324,16901,ATG,PRI
325,1516,ATG,PRT
326,1033,ATG,PRY
327,3430,ATG,QAT
328,2423,ATG,REU
329,816,ATG,ROU
330,2630,ATG,SRB
331,3038,ATG,RWA
332,1041,ATG,SAU
333,2786,ATG,SLB
334,35024,ATG,SYC
335,2763,ATG,SWE
336,1251,ATG,SGP
337,1933,ATG,SVN
338,554,ATG,SVK
339,19845,ATG,SLE
340,5537,ATG,SEN
341,575311,ATG,SUR
342,10786,ATG,STP
343,1009,ATG,SLV
344,3938,ATG,SWZ
345,1008,ATG,TCD
346,5482,ATG,TGO
347,196,ATG,THA
348,359,ATG,TJK
349,766,ATG,TLS
350,683,ATG,TUN
351,5288,ATG,TON
352,703,ATG,TUR
353,770187,ATG,TTO
354,418,ATG,TWN
355,3294,ATG,TZA
356,490,ATG,UKR
357,6566,ATG,UGA
358,56333,ATG,USA
359,1580,ATG,URY
360,205,ATG,UZB
361,11065040,ATG,VCT
362,190,ATG,VNM
363,3942,ATG,VUT
364,3001,ATG,WSM
365,556,ATG,XKX
366,12445,ATG,MYT
367,2955,ATG,ZAF
368,7549,ATG,ZMB
369,4962,ATG,ZWE
370,2101,ALB,ARE
371,641,ALB,ATG
372,14884656,ALB,ALB
373,896,ALB,ARM
374,689,ALB,AGO
375,574,ALB,ARG
376,19997,ALB,AUT
377,2268,ALB,AUS
378,910,ALB,ABW
379,1300,ALB,AZE
380,15027,ALB,BIH
381,704,ALB,BRB
382,430,ALB,BGD
383,20975,ALB,BEL
384,572,ALB,BFA
385,7200,ALB,BGR
386,1609,ALB,BHR
387,481,ALB,BDI
388,2996,ALB,BEN
389,401,ALB,BRN
390,353,ALB,BOL
391,551,ALB,BRA
392,568,ALB,BHS
393,239,ALB,BTN
394,534,ALB,BWA
395,2763,ALB,BLR
396,757,ALB,BLZ
397,5606,ALB,CAN
398,446,ALB,COD
399,695,ALB,CAF
