,user_loc,fr_loc,scaled_sci,region
583,BEL,COD,19878,Europe
584,BEL,CAF,13196,Europe
585,BEL,COG,11102,Europe
586,BEL,CHE,29544,Europe
587,BEL,CIV,6504,Europe
588,BEL,CHL,1465,Europe
589,BEL,CMR,22728,Europe
590,BEL,COL,1174,Europe
591,BEL,CRI,1821,Europe
592,BEL,CPV,24337,Europe
593,BEL,CUW,25435,Europe
594,BEL,CYP,11521,Europe
595,BEL,CZE,5086,Europe
596,BEL,DEU,13731,Europe
597,BEL,DJI,26572,Europe
598,BEL,DNK,9253,Europe
599,BEL,DOM,2942,Europe
600,BEL,DZA,2517,Europe
601,BEL,ECU,1729,Europe
602,BEL,EST,8651,Europe
603,BEL,EGY,1048,Europe
604,BEL,ESP,13070,Europe
605,BEL,ETH,2851,Europe
606,BEL,FIN,7394,Europe
607,BEL,FJI,546,Europe
608,BEL,FSM,525,Europe
609,BEL,FRA,40013,Europe
610,BEL,GAB,9216,Europe
611,BEL,GBR,8675,Europe
612,BEL,GRD,1437,Europe
613,BEL,GEO,4785,Europe
614,BEL,GUF,17478,Europe
615,BEL,GHA,5757,Europe
616,BEL,GMB,15777,Europe
617,BEL,GIN,43031,Europe
618,BEL,GLP,21626,Europe
619,BEL,GNQ,8166,Europe
620,BEL,GRC,15933,Europe
621,BEL,GTM,465,Europe
622,BEL,GUM,1388,Europe
623,BEL,GNB,14331,Europe
624,BEL,GUY,1096,Europe
625,BEL,HKG,1985,Europe
626,BEL,HND,506,Europe
627,BEL,HRV,8091,Europe
628,BEL,HTI,1634,Europe
629,BEL,HUN,7472,Europe
630,BEL,IDN,289,Europe
631,BEL,IRL,10744,Europe
632,BEL,IMN,5069,Europe
633,BEL,IND,312,Europe
634,BEL,ISL,17197,Europe
635,BEL,ITA,14332,Europe
636,BEL,JEY,7072,Europe
637,BEL,JAM,2289,Europe
638,BEL,JOR,1978,Europe
639,BEL,JPN,1260,Europe
640,BEL,KEN,1824,Europe
641,BEL,KGZ,901,Europe
642,BEL,KHM,505,Europe
643,BEL,KIR,124,Europe
644,BEL,COM,1335,Europe
645,BEL,KOR,749,Europe
646,BEL,KWT,1539,Europe
647,BEL,CYM,3592,Europe
648,BEL,KAZ,762,Europe
649,BEL,LAO,538,Europe
650,BEL,LBN,11278,Europe
651,BEL,LCA,1504,Europe
652,BEL,LKA,929,Europe
653,BEL,LBR,6760,Europe
654,BEL,LSO,272,Europe
655,BEL,LTU,6638,Europe
656,BEL,LUX,231267,Europe
657,BEL,LVA,8175,Europe
658,BEL,LBY,1295,Europe
659,BEL,MAR,12984,Europe
660,BEL,MDA,21183,Europe
661,BEL,MNE,11965,Europe
662,BEL,MDG,3960,Europe
663,BEL,MKD,24466,Europe
664,BEL,MLI,3938,Europe
665,BEL,MMR,103,Europe
666,BEL,MNG,2036,Europe
667,BEL,MAC,1809,Europe
668,BEL,MTQ,18442,Europe
669,BEL,MRT,7959,Europe
670,BEL,MLT,27299,Europe
671,BEL,MUS,11054,Europe
672,BEL,MDV,1626,Europe
673,BEL,MWI,550,Europe
674,BEL,MEX,600,Europe
675,BEL,MYS,511,Europe
676,BEL,MOZ,1065,Europe
677,BEL,NULL,2426,Europe
678,BEL,NCL,8629,Europe
679,BEL,NER,12104,Europe
680,BEL,NGA,1185,Europe
681,BEL,NIC,794,Europe
682,BEL,NLD,88222,Europe
683,BEL,NOR,8312,Europe
684,BEL,NPL,2016,Europe
685,BEL,NZL,3845,Europe
686,BEL,OMN,1360,Europe
687,BEL,PAN,1352,Europe
688,BEL,PER,907,Europe
689,BEL,PYF,8040,Europe
690,BEL,PNG,219,Europe
691,BEL,PHL,947,Europe
692,BEL,PAK,1274,Europe
693,BEL,POL,11792,Europe
