iso_o,dist
BT_BR,15652.48
BT_BB,14432.16
BT_BN,3668.785
BW_AW,11196.28
BW_AO,2223.578
BW_AL,7381.93
BW_AE,6280.032
BW_AR,8001.549
BW_AM,7479.425
BW_AG,10586.92
BW_AU,11312.15
BW_AT,8176.988
BW_AZ,7660.868
BW_BI,2407.703
BW_BE,8675.436
BW_BJ,4295.408
BW_BF,5099.678
BW_BD,8795.499
BW_BG,7508.229
BW_BH,6262.283
BW_BS,12406.44
BW_BA,7675.125
BW_BO,9653.865
BW_BR,7274.823
BW_BB,10182.78
BW_BN,10150.87
BW_BT,8981.949
CF_AW,9771.96
CF_AO,1586.979
CF_AL,4114.247
CF_AE,4435.249
CF_AR,9125.232
CF_AM,4754.974
CF_AG,8858.907
CF_AU,14139.34
CF_AT,4883.329
CF_AZ,5082.482
CF_BI,1469.692
CF_BE,5338.624
CF_BJ,1797.871
CF_BF,2400.409
CF_BD,7962.401
CF_BG,4286.038
CF_BH,4184.757
CF_BS,10407.5
CF_BA,4394.5
CF_BY,5564.564
CF_BZ,11710.39
CF_BO,9813.231
CF_BR,7721.303
CF_BB,8632.729
CF_BN,10676.83
CF_BT,7931.445
CF_BW,3337.39
CF_CA,10320.65
CA_AW,3573.887
CA_AO,10904.94
CA_AL,7606.625
CA_AE,11105.9
CA_AR,8970.104
CA_AM,9139.136
CA_AG,3382.002
CA_AU,15586.66
CA_AT,6922.538
CA_AZ,9390.014
CA_BI,11774.13
CA_BE,6031.534
CA_BJ,8873.83
CA_BF,8088.204
CA_BD,12464.92
CA_BG,7729.773
CA_BH,10737.03
CA_BS,2074.812
CA_BA,7341.015
CA_BY,7158.217
CA_BZ,3072.831
CA_BO,6791.604
CA_BR,8191.353
CA_BB,3889.655
CA_BN,14437.83
CA_BT,12033.81
CA_BW,13081.88
CH_AW,8056.332
CH_AO,6235.385
CH_AL,1167.984
CH_AE,4830.737
CH_AR,11214.51
CH_AM,3051.854
CH_AG,7067.338
CH_AU,16673.2
CH_AT,684.8875
CH_AZ,3451.508
CH_BI,5997.093
CH_BE,487.4555
CH_BJ,4537.609
CH_BF,3946.044
CH_BD,7595.708
CH_BG,1337.572
CH_BH,4421.287
CH_BS,7626.146
CH_BA,924.4724
CH_BY,1609.652
CH_BZ,9085.797
CH_BO,10302.54
CH_BR,9534.491
CH_BB,7218.53
CH_BN,10925.83
CH_BT,7261.751
CH_BW,8193.798
CH_CF,4858.24
CH_CA,6440.717
CH_CG,5748.048
CL_AW,5125.68
CL_AO,8914.097
CL_AL,12432.5
CL_AE,14654.8
CL_AR,1128.317
CL_AM,14338.96
CL_AG,5713.025
CL_AU,11353.72
CL_AT,12522.0
CL_AZ,14789.04
CL_BI,10732.02
CL_BE,11904.94
CL_BJ,8874.32
CL_BF,8901.345
CL_BD,17888.71
CL_BG,12756.3
CL_BH,14382.85
CL_BS,6558.368
CL_BA,12454.73
CL_BY,13471.03
CL_BZ,5964.23
CL_BO,1908.614
CL_BR,2590.783
CL_BB,5317.438
CL_BN,16801.3
CL_BT,18046.07
CL_BW,9093.814
CL_CF,10219.65
CL_CA,8632.244
CL_CH,11866.25
CL_CI,8220.836
CL_CG,9376.872
CI_AW,7293.883
CI_AO,2480.138
CI_AL,4655.998
CI_AE,6583.225
CI_AR,7231.426
CI_AM,6198.215
CI_AG,6423.863
CI_AU,15950.81
CI_AT,5152.116
CI_AZ,6626.284
CI_BI,3829.791
CI_BE,5125.518
CI_BJ,733.3586
CI_BF,822.5521
CI_BD,10223.82
CI_BG,4952.379
CI_BH,6243.439
CI_BS,8086.131
CI_BA,4820.295
CI_BY,6106.147
CI_BZ,9289.005
CI_BO,7462.484
CI_BR,5630.741
CI_BB,6157.8
CI_BN,13156.75
CI_BT,10113.66
CI_BW,4658.542
CI_CF,2512.054
CI_CA,8431.855
CI_CH,4762.153
CI_CG,2389.362
CM_AW,9014.291
CM_AO,1424.688
CM_AL,4253.419
CM_AE,5133.86
CM_AR,8456.569
CM_AM,5224.684
CM_AG,8120.839
CM_AU,14687.67
CM_AT,4959.645
CM_AZ,5592.087
CM_BI,2136.524
CM_BE,5272.011
CM_BJ,1037.146
CM_BF,1731.331
CM_BD,8709.055
CM_BG,4475.222
CM_BH,4852.17
CM_BS,9719.645
CM_BA,4505.491
CM_BY,5752.091
CM_BZ,10982.28
CM_BO,9042.204
CM_BR,6997.694
CM_BB,7875.98
CM_BN,11467.0
CM_BT,8658.19
CM_BW,3543.866
CM_CF,790.412
CM_CA,9793.375
CM_CH,4813.109
CM_CL,9531.194
CM_CI,1730.951
CM_CG,990.0675
CG_AW,9613.901
CG_AO,556.9467
CG_AL,5092.883
CG_AE,5308.856
CG_AR,8261.97
CG_AM,5776.592
CG_AG,8787.793
CG_AU,13759.13
CG_AT,5838.688
CG_AZ,6092.719
CG_BI,1566.957
CG_BE,6216.578
CG_BJ,1843.169
CG_BF,2625.844
CG_BD,8702.789
CG_BG,5283.01
CG_BH,5100.807
CG_BS,10474.82
CG_BA,5363.089
CG_BY,6565.044
CG_BZ,11646.96
CG_BO,9179.979
CG_BR,6964.051
CG_BB,8490.277
CG_BN,11134.3
CG_BT,8720.156
CG_BW,2553.88
CG_CF,1030.178
CG_CA,10713.35
CO_AW,1036.634
CO_AO,9911.524
CO_AL,10083.01
CO_AE,13680.45
CO_AR,4706.263
CO_AM,12118.5
CO_AG,2004.484
CO_AU,14260.45
CO_AT,9738.664
CO_AZ,12521.46
CO_BI,11640.86
CO_BE,8874.132
CO_BJ,8589.477
CO_BF,8104.389
CO_BD,16506.31
CO_BG,10348.02
CO_BH,13254.83
CO_BS,2288.925
CO_BA,9939.706
CO_BY,10417.04
CO_BZ,2050.216
CO_BO,2471.658
CO_BR,4399.134
CO_BB,1941.29
CO_BN,18491.83
CO_BT,16099.62
CO_BW,11341.86
CO_CF,10384.9
CO_CA,4363.174
CO_CH,9070.684
CO_CL,4269.443
CO_CI,7873.854
CO_CM,9604.101
CO_CG,10088.14
KM_AW,12802.65
KM_AO,3301.018
KM_AL,6371.083
KM_AE,4200.173
KM_AR,10331.04
KM_AM,5772.269
KM_AG,11982.51
KM_AU,10894.3
KM_AT,7174.249
